"filename", "language", "TypeScript", "Vue", "comment", "blank", "total"
"d:\share2\electron-vue\src\schema\base.ts", "TypeScript", 28, 0, 1, 2, 31
"d:\share2\electron-vue\src\schema\baseEdit.ts", "TypeScript", 17, 0, 0, 1, 18
"d:\share2\electron-vue\src\schema\businessTable\basicEntity.ts", "TypeScript", 497, 0, 34, 5, 536
"d:\share2\electron-vue\src\schema\businessTable\basicEntityFn.ts", "TypeScript", 96, 0, 64, 12, 172
"d:\share2\electron-vue\src\schema\businessTable\contextMenu.ts", "TypeScript", 129, 0, 26, 3, 158
"d:\share2\electron-vue\src\schema\businessTable\detailEntity.ts", "TypeScript", 78, 0, 6, 5, 89
"d:\share2\electron-vue\src\schema\businessTable\detailEntityGroup.ts", "TypeScript", 88, 0, 2, 2, 92
"d:\share2\electron-vue\src\schema\businessTable\mainEditEntity.ts", "TypeScript", 130, 0, 7, 4, 141
"d:\share2\electron-vue\src\schema\businessTable\mainEntity.ts", "TypeScript", 91, 0, 6, 4, 101
"d:\share2\electron-vue\src\schema\businessTable\pageTree.ts", "TypeScript", 79, 0, 4, 5, 88
"d:\share2\electron-vue\src\schema\businessTable\searchEntity.ts", "TypeScript", 7, 0, 0, 3, 10
"d:\share2\electron-vue\src\schema\businessTable\treeEntity.ts", "TypeScript", 11, 0, 0, 3, 14
"d:\share2\electron-vue\src\schema\button.ts", "TypeScript", 73, 0, 0, 1, 74
"d:\share2\electron-vue\src\schema\buttonFn.ts", "TypeScript", 10, 0, 2, 2, 14
"d:\share2\electron-vue\src\schema\buttonGroup.ts", "TypeScript", 74, 0, 1, 2, 77
"d:\share2\electron-vue\src\schema\column.ts", "TypeScript", 143, 0, 2, 13, 158
"d:\share2\electron-vue\src\schema\columnFn.ts", "TypeScript", 323, 0, 26, 39, 388
"d:\share2\electron-vue\src\schema\command.ts", "TypeScript", 3, 0, 0, 1, 4
"d:\share2\electron-vue\src\schema\createFn.ts", "TypeScript", 9, 0, 3, 2, 14
"d:\share2\electron-vue\src\schema\designForm.ts", "TypeScript", 60, 0, 1, 9, 70
"d:\share2\electron-vue\src\schema\dialog.ts", "TypeScript", 278, 0, 14, 10, 302
"d:\share2\electron-vue\src\schema\dialogComponent\baseInfoDialog.ts", "TypeScript", 24, 0, 1, 6, 31
"d:\share2\electron-vue\src\schema\dialogComponent\confirmDialog.ts", "TypeScript", 54, 0, 1, 7, 62
"d:\share2\electron-vue\src\schema\dialogComponent\defaultDialog.ts", "TypeScript", 17, 0, 0, 1, 18
"d:\share2\electron-vue\src\schema\dialogComponent\defaultFooter.ts", "TypeScript", 10, 0, 0, 2, 12
"d:\share2\electron-vue\src\schema\dialogComponent\entitySearchDialog.ts", "TypeScript", 53, 0, 0, 4, 57
"d:\share2\electron-vue\src\schema\dialogComponent\index.ts", "TypeScript", 7, 0, 1, 1, 9
"d:\share2\electron-vue\src\schema\dialogComponent\vueComponent\entitySearch.vue", "Vue", 0, 7, 0, 4, 11
"d:\share2\electron-vue\src\schema\dialogFn.ts", "TypeScript", 205, 0, 0, 21, 226
"d:\share2\electron-vue\src\schema\editClass\baseInfo.ts", "TypeScript", 180, 0, 6, 4, 190
"d:\share2\electron-vue\src\schema\editClass\baseInfoTable.ts", "TypeScript", 66, 0, 3, 4, 73
"d:\share2\electron-vue\src\schema\editClass\bool.ts", "TypeScript", 24, 0, 0, 3, 27
"d:\share2\electron-vue\src\schema\editClass\number.ts", "TypeScript", 12, 0, 0, 4, 16
"d:\share2\electron-vue\src\schema\editClass\select.ts", "TypeScript", 75, 0, 2, 2, 79
"d:\share2\electron-vue\src\schema\editClass\string.ts", "TypeScript", 42, 0, 0, 2, 44
