"filename", "language", "TypeScript", "Vue", "PostCSS", "SCSS", "XML", "comment", "blank", "total"
"d:\share2\electron-vue\src\App.vue", "Vue", 0, 15, 0, 0, 0, 0, 2, 17
"d:\share2\electron-vue\src\api\axios.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"d:\share2\electron-vue\src\api\data.ts", "TypeScript", 173189, 0, 0, 0, 0, 5199, 7, 178395
"d:\share2\electron-vue\src\api\data2.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 2, 8
"d:\share2\electron-vue\src\api\data3.ts", "TypeScript", 5654, 0, 0, 0, 0, 189, 4, 5847
"d:\share2\electron-vue\src\api\data4.ts", "TypeScript", 54277, 0, 0, 0, 0, 0, 1, 54278
"d:\share2\electron-vue\src\api\data5.ts", "TypeScript", 60, 0, 0, 0, 0, 204, 1, 265
"d:\share2\electron-vue\src\api\data6.ts", "TypeScript", 11026, 0, 0, 0, 0, 14, 3, 11043
"d:\share2\electron-vue\src\api\httpApi.ts", "TypeScript", 164, 0, 0, 0, 0, 24, 11, 199
"d:\share2\electron-vue\src\assets\electron.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\share2\electron-vue\src\assets\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\share2\electron-vue\src\assets\vue.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\share2\electron-vue\src\components\gantt\GanttPlayground.vue", "Vue", 0, 158, 0, 0, 0, 0, 16, 174
"d:\share2\electron-vue\src\components\gantt\color-schemes.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 16, 133
"d:\share2\electron-vue\src\components\gantt\components\GGanttBar.vue", "Vue", 0, 146, 0, 0, 0, 0, 18, 164
"d:\share2\electron-vue\src\components\gantt\components\GGanttBarTooltip.vue", "Vue", 0, 114, 0, 0, 0, 0, 19, 133
"d:\share2\electron-vue\src\components\gantt\components\GGanttChart.vue", "Vue", 0, 232, 0, 0, 0, 3, 20, 255
"d:\share2\electron-vue\src\components\gantt\components\GGanttGrid.vue", "Vue", 0, 38, 0, 0, 0, 0, 6, 44
"d:\share2\electron-vue\src\components\gantt\components\GGanttRow.vue", "Vue", 0, 100, 0, 0, 0, 0, 15, 115
