Date : 2024-01-01 05:22:32
Directory : d:\share2\electron-vue\src
Total : 182 files,  258424 codes, 6617 comments, 1028 blanks, all 266069 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        152 |    255,651 |      6,404 |        791 |    262,846 |
| Vue        |         25 |      2,465 |        161 |        180 |      2,806 |
| SCSS       |          1 |        216 |         27 |         35 |        278 |
| PostCSS    |          1 |         89 |         25 |         22 |        136 |
| XML        |          3 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        182 |    258,424 |      6,617 |      1,028 |    266,069 |
| . (Files)                                                                         |          7 |        167 |         27 |         28 |        222 |
| api                                                                               |          8 |    244,380 |      5,630 |         30 |    250,040 |
| assets                                                                            |          3 |          3 |          0 |          0 |          3 |
| components                                                                        |         22 |      1,755 |         12 |        212 |      1,979 |
| components (Files)                                                                |          1 |         38 |          0 |          4 |         42 |
| components\gantt                                                                  |         21 |      1,717 |         12 |        208 |      1,937 |
| components\gantt (Files)                                                          |          5 |        321 |          1 |         43 |        365 |
| components\gantt\components                                                       |          6 |        715 |          3 |         87 |        805 |
| components\gantt\composables                                                      |          6 |        638 |          8 |         68 |        714 |
| components\gantt\provider                                                         |          4 |         43 |          0 |         10 |         53 |
| entityMethods                                                                     |          3 |          9 |          1 |          4 |         14 |
| middleware                                                                        |          3 |         44 |          0 |          4 |         48 |
| plugin                                                                            |          1 |         42 |          0 |          1 |         43 |
| router                                                                            |          2 |        150 |         28 |         15 |        193 |
| samples                                                                           |          1 |          0 |         11 |          3 |         14 |
| schema                                                                            |        111 |      9,138 |        681 |        501 |     10,320 |
| schema (Files)                                                                    |         43 |      5,038 |        286 |        282 |      5,606 |
| schema\businessTable                                                              |         14 |      1,665 |        184 |         79 |      1,928 |
| schema\buttonMethod                                                               |          3 |         51 |         62 |         14 |        127 |
| schema\dialogComponent                                                            |          9 |        269 |          7 |         45 |        321 |
| schema\dialogComponent (Files)                                                    |          8 |        262 |          7 |         41 |        310 |
| schema\dialogComponent\vueComponent                                               |          1 |          7 |          0 |          4 |         11 |
| schema\editClass                                                                  |          9 |        511 |         14 |         28 |        553 |
| schema\editComponent                                                              |         10 |        781 |          8 |         20 |        809 |
| schema\schemaComponent                                                            |         17 |        410 |         49 |         17 |        476 |
| schema\tableColumnCom                                                             |          6 |        413 |         71 |         16 |        500 |
| style                                                                             |          1 |        216 |         27 |         35 |        278 |
| systemData                                                                        |          1 |         14 |          1 |          3 |         18 |
| types                                                                             |          1 |        570 |         15 |         84 |        669 |
| utils                                                                             |          3 |        404 |         26 |         41 |        471 |
| views                                                                             |         15 |      1,532 |        158 |         67 |      1,757 |
| views (Files)                                                                     |         13 |      1,504 |        158 |         61 |      1,723 |
| views\auth                                                                        |          1 |          5 |          0 |          3 |          8 |
| views\layout                                                                      |          1 |         23 |          0 |          3 |         26 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\share2\electron-vue\src\App.vue                                                | Vue        |         15 |          0 |          2 |         17 |
| d:\share2\electron-vue\src\api\axios.ts                                           | TypeScript |          4 |          0 |          1 |          5 |
| d:\share2\electron-vue\src\api\data.ts                                            | TypeScript |    173,189 |      5,199 |          7 |    178,395 |
| d:\share2\electron-vue\src\api\data2.ts                                           | TypeScript |          6 |          0 |          2 |          8 |
| d:\share2\electron-vue\src\api\data3.ts                                           | TypeScript |      5,654 |        189 |          4 |      5,847 |
| d:\share2\electron-vue\src\api\data4.ts                                           | TypeScript |     54,277 |          0 |          1 |     54,278 |
| d:\share2\electron-vue\src\api\data5.ts                                           | TypeScript |         60 |        204 |          1 |        265 |
| d:\share2\electron-vue\src\api\data6.ts                                           | TypeScript |     11,026 |         14 |          3 |     11,043 |
| d:\share2\electron-vue\src\api\httpApi.ts                                         | TypeScript |        164 |         24 |         11 |        199 |
| d:\share2\electron-vue\src\assets\electron.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\share2\electron-vue\src\assets\vite.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\share2\electron-vue\src\assets\vue.svg                                         | XML        |          1 |          0 |          0 |          1 |
| d:\share2\electron-vue\src\components\gantt\GanttPlayground.vue                   | Vue        |        158 |          0 |         16 |        174 |
| d:\share2\electron-vue\src\components\gantt\color-schemes.ts                      | TypeScript |        117 |          0 |         16 |        133 |
| d:\share2\electron-vue\src\components\gantt\components\GGanttBar.vue              | Vue        |        146 |          0 |         18 |        164 |
| d:\share2\electron-vue\src\components\gantt\components\GGanttBarTooltip.vue       | Vue        |        114 |          0 |         19 |        133 |
| d:\share2\electron-vue\src\components\gantt\components\GGanttChart.vue            | Vue        |        232 |          3 |         20 |        255 |
| d:\share2\electron-vue\src\components\gantt\components\GGanttGrid.vue             | Vue        |         38 |          0 |          6 |         44 |
| d:\share2\electron-vue\src\components\gantt\components\GGanttRow.vue              | Vue        |        100 |          0 |         15 |        115 |
| d:\share2\electron-vue\src\components\gantt\components\GGanttTimeaxis.vue         | Vue        |         85 |          0 |          9 |         94 |
| d:\share2\electron-vue\src\components\gantt\composables\createBarDrag.ts          | TypeScript |        110 |          0 |         18 |        128 |
| d:\share2\electron-vue\src\components\gantt\composables\useBarDragLimit.ts        | TypeScript |        156 |          5 |          8 |        169 |
| d:\share2\electron-vue\src\components\gantt\composables\useBarDragManagement.ts   | TypeScript |        189 |          0 |         17 |        206 |
| d:\share2\electron-vue\src\components\gantt\composables\useDayjsHelper.ts         | TypeScript |         37 |          0 |          9 |         46 |
| d:\share2\electron-vue\src\components\gantt\composables\useTimePositionMapping.ts | TypeScript |         25 |          0 |          7 |         32 |
| d:\share2\electron-vue\src\components\gantt\composables\useTimeaxisUnits.ts       | TypeScript |        121 |          3 |          9 |        133 |
| d:\share2\electron-vue\src\components\gantt\playground.ts                         | TypeScript |          4 |          0 |          2 |          6 |
| d:\share2\electron-vue\src\components\gantt\provider\provideConfig.ts             | TypeScript |          9 |          0 |          2 |         11 |
| d:\share2\electron-vue\src\components\gantt\provider\provideEmitBarEvent.ts       | TypeScript |          9 |          0 |          2 |         11 |
| d:\share2\electron-vue\src\components\gantt\provider\provideGetChartRows.ts       | TypeScript |          9 |          0 |          2 |         11 |
| d:\share2\electron-vue\src\components\gantt\provider\symbols.ts                   | TypeScript |         16 |          0 |          4 |         20 |
| d:\share2\electron-vue\src\components\gantt\types.ts                              | TypeScript |         16 |          1 |          2 |         19 |
| d:\share2\electron-vue\src\components\gantt\vue-ganttastic.ts                     | TypeScript |         26 |          0 |          7 |         33 |
| d:\share2\electron-vue\src\components\modal.vue                                   | Vue        |         38 |          0 |          4 |         42 |
| d:\share2\electron-vue\src\entityMethods\detailTableMehods.ts                     | TypeScript |          0 |          0 |          1 |          1 |
| d:\share2\electron-vue\src\entityMethods\mainTableMethods.ts                      | TypeScript |          9 |          1 |          2 |         12 |
| d:\share2\electron-vue\src\entityMethods\searchTableMethods.ts                    | TypeScript |          0 |          0 |          1 |          1 |
| d:\share2\electron-vue\src\keyboardjs.d.ts                                        | TypeScript |          1 |          0 |          0 |          1 |
| d:\share2\electron-vue\src\main.ts                                                | TypeScript |         55 |          1 |          2 |         58 |
| d:\share2\electron-vue\src\middleware\confirmMiddleware.ts                        | TypeScript |         33 |          0 |          2 |         35 |
| d:\share2\electron-vue\src\middleware\entityMiddleWare.ts                         | TypeScript |          4 |          0 |          1 |          5 |
| d:\share2\electron-vue\src\middleware\pageloadMiddleware.ts                       | TypeScript |          7 |          0 |          1 |          8 |
| d:\share2\electron-vue\src\mousetrap.d.ts                                         | TypeScript |          1 |          0 |          0 |          1 |
| d:\share2\electron-vue\src\plugin\register.ts                                     | TypeScript |         42 |          0 |          1 |         43 |
| d:\share2\electron-vue\src\router\helper.ts                                       | TypeScript |         47 |         13 |          6 |         66 |
| d:\share2\electron-vue\src\router\index.ts                                        | TypeScript |        103 |         15 |          9 |        127 |
| d:\share2\electron-vue\src\samples\node-api.ts                                    | TypeScript |          0 |         11 |          3 |         14 |
| d:\share2\electron-vue\src\schema\base.ts                                         | TypeScript |         31 |          1 |          2 |         34 |
| d:\share2\electron-vue\src\schema\baseEdit.ts                                     | TypeScript |         17 |          0 |          1 |         18 |
| d:\share2\electron-vue\src\schema\businessTable\basicEntity.ts                    | TypeScript |        748 |         39 |         14 |        801 |
| d:\share2\electron-vue\src\schema\businessTable\basicEntityExtend.ts              | TypeScript |          5 |          0 |          5 |         10 |
| d:\share2\electron-vue\src\schema\businessTable\basicEntityFn.ts                  | TypeScript |        165 |         64 |         20 |        249 |
| d:\share2\electron-vue\src\schema\businessTable\contextMenu.ts                    | TypeScript |        129 |         26 |          3 |        158 |
| d:\share2\electron-vue\src\schema\businessTable\detailEntity.ts                   | TypeScript |         86 |          6 |          5 |         97 |
| d:\share2\electron-vue\src\schema\businessTable\detailEntityExtend.ts             | TypeScript |         29 |          0 |          2 |         31 |
| d:\share2\electron-vue\src\schema\businessTable\detailEntityGroup.ts              | TypeScript |         88 |          2 |          2 |         92 |
| d:\share2\electron-vue\src\schema\businessTable\mainEditEntity.ts                 | TypeScript |        122 |         22 |          6 |        150 |
| d:\share2\electron-vue\src\schema\businessTable\mainEditEntityExtend.ts           | TypeScript |         30 |         10 |          1 |         41 |
| d:\share2\electron-vue\src\schema\businessTable\mainEntity.ts                     | TypeScript |        105 |          7 |          6 |        118 |
| d:\share2\electron-vue\src\schema\businessTable\mainEntityExtend.ts               | TypeScript |         55 |          4 |          4 |         63 |
| d:\share2\electron-vue\src\schema\businessTable\pageTree.ts                       | TypeScript |         79 |          4 |          5 |         88 |
| d:\share2\electron-vue\src\schema\businessTable\searchEntity.ts                   | TypeScript |         13 |          0 |          3 |         16 |
| d:\share2\electron-vue\src\schema\businessTable\treeEntity.ts                     | TypeScript |         11 |          0 |          3 |         14 |
| d:\share2\electron-vue\src\schema\button.ts                                       | TypeScript |         73 |          0 |          1 |         74 |
| d:\share2\electron-vue\src\schema\buttonFn.ts                                     | TypeScript |         10 |          2 |          2 |         14 |
| d:\share2\electron-vue\src\schema\buttonGroup.ts                                  | TypeScript |         85 |          1 |          2 |         88 |
| d:\share2\electron-vue\src\schema\buttonMethod\detailButton.ts                    | TypeScript |          0 |          0 |          1 |          1 |
| d:\share2\electron-vue\src\schema\buttonMethod\editButton.ts                      | TypeScript |          0 |          0 |          1 |          1 |
| d:\share2\electron-vue\src\schema\buttonMethod\mainButton.ts                      | TypeScript |         51 |         62 |         12 |        125 |
| d:\share2\electron-vue\src\schema\column.ts                                       | TypeScript |        160 |          2 |         20 |        182 |
| d:\share2\electron-vue\src\schema\columnFn.ts                                     | TypeScript |        326 |         27 |         39 |        392 |
| d:\share2\electron-vue\src\schema\command.ts                                      | TypeScript |          2 |          0 |          3 |          5 |
| d:\share2\electron-vue\src\schema\createFn.ts                                     | TypeScript |         22 |          0 |          2 |         24 |
| d:\share2\electron-vue\src\schema\designForm.ts                                   | TypeScript |         60 |          1 |          9 |         70 |
| d:\share2\electron-vue\src\schema\dialog.ts                                       | TypeScript |        249 |         12 |         17 |        278 |
| d:\share2\electron-vue\src\schema\dialogComponent\baseInfoDialog.ts               | TypeScript |         24 |          1 |          6 |         31 |
| d:\share2\electron-vue\src\schema\dialogComponent\codeEditDialog.ts               | TypeScript |         54 |          1 |          7 |         62 |
| d:\share2\electron-vue\src\schema\dialogComponent\confirmDialog.ts                | TypeScript |         43 |          1 |          8 |         52 |
| d:\share2\electron-vue\src\schema\dialogComponent\defaultDialog.ts                | TypeScript |         17 |          0 |          1 |         18 |
| d:\share2\electron-vue\src\schema\dialogComponent\defaultFooter.ts                | TypeScript |         10 |          0 |          2 |         12 |
| d:\share2\electron-vue\src\schema\dialogComponent\entityDialog.ts                 | TypeScript |         54 |          1 |          7 |         62 |
| d:\share2\electron-vue\src\schema\dialogComponent\formDialog.ts                   | TypeScript |         54 |          1 |          5 |         60 |
| d:\share2\electron-vue\src\schema\dialogComponent\index.ts                        | TypeScript |          6 |          2 |          5 |         13 |
| d:\share2\electron-vue\src\schema\dialogComponent\vueComponent\entitySearch.vue   | Vue        |          7 |          0 |          4 |         11 |
| d:\share2\electron-vue\src\schema\dialogDefault.ts                                | TypeScript |          9 |          0 |          1 |         10 |
| d:\share2\electron-vue\src\schema\dialogFn.ts                                     | TypeScript |        192 |          2 |         22 |        216 |
| d:\share2\electron-vue\src\schema\dialogFooter.ts                                 | TypeScript |          9 |          0 |          1 |         10 |
| d:\share2\electron-vue\src\schema\dialogHeader.ts                                 | TypeScript |          9 |          0 |          1 |         10 |
| d:\share2\electron-vue\src\schema\editClass\baseInfo.ts                           | TypeScript |        182 |          6 |          4 |        192 |
| d:\share2\electron-vue\src\schema\editClass\baseInfoTable.ts                      | TypeScript |         66 |          3 |          4 |         73 |
| d:\share2\electron-vue\src\schema\editClass\bool.ts                               | TypeScript |         24 |          0 |          3 |         27 |
| d:\share2\electron-vue\src\schema\editClass\codeEdit.ts                           | TypeScript |         41 |          2 |          1 |         44 |
| d:\share2\electron-vue\src\schema\editClass\number.ts                             | TypeScript |         12 |          0 |          4 |         16 |
| d:\share2\electron-vue\src\schema\editClass\select.ts                             | TypeScript |         78 |          2 |          2 |         82 |
| d:\share2\electron-vue\src\schema\editClass\string.ts                             | TypeScript |         43 |          0 |          2 |         45 |
| d:\share2\electron-vue\src\schema\editClass\time.ts                               | TypeScript |         41 |          1 |          5 |         47 |
| d:\share2\electron-vue\src\schema\editClass\wangEditor.ts                         | TypeScript |         24 |          0 |          3 |         27 |
| d:\share2\electron-vue\src\schema\editComponent\baseInfoView.ts                   | TypeScript |        143 |          2 |          4 |        149 |
| d:\share2\electron-vue\src\schema\editComponent\baseInfoView1.ts                  | TypeScript |        178 |          3 |          2 |        183 |
| d:\share2\electron-vue\src\schema\editComponent\boolView.ts                       | TypeScript |         53 |          0 |          2 |         55 |
| d:\share2\electron-vue\src\schema\editComponent\datetimeView.ts                   | TypeScript |         38 |          1 |          1 |         40 |
| d:\share2\electron-vue\src\schema\editComponent\formitemView.ts                   | TypeScript |         45 |          2 |          2 |         49 |
| d:\share2\electron-vue\src\schema\editComponent\numberRangeView.ts                | TypeScript |         84 |          0 |          2 |         86 |
| d:\share2\electron-vue\src\schema\editComponent\numberView.ts                     | TypeScript |         48 |          0 |          2 |         50 |
| d:\share2\electron-vue\src\schema\editComponent\selectView.ts                     | TypeScript |         61 |          0 |          1 |         62 |
| d:\share2\electron-vue\src\schema\editComponent\stringRangeView.ts                | TypeScript |         84 |          0 |          2 |         86 |
| d:\share2\electron-vue\src\schema\editComponent\stringView.ts                     | TypeScript |         47 |          0 |          2 |         49 |
| d:\share2\electron-vue\src\schema\entityButton.ts                                 | TypeScript |        201 |          3 |          6 |        210 |
| d:\share2\electron-vue\src\schema\entityColumn.ts                                 | TypeScript |        123 |          2 |         10 |        135 |
| d:\share2\electron-vue\src\schema\entityColumnTran.ts                             | TypeScript |        265 |         21 |          1 |        287 |
| d:\share2\electron-vue\src\schema\entityTable.ts                                  | TypeScript |         12 |          5 |          3 |         20 |
| d:\share2\electron-vue\src\schema\form.ts                                         | TypeScript |        158 |         12 |          2 |        172 |
| d:\share2\electron-vue\src\schema\formFn.ts                                       | TypeScript |         16 |          0 |          3 |         19 |
| d:\share2\electron-vue\src\schema\formitem.ts                                     | TypeScript |        184 |         11 |          2 |        197 |
| d:\share2\electron-vue\src\schema\formitemComFn.ts                                | TypeScript |         73 |         18 |         16 |        107 |
| d:\share2\electron-vue\src\schema\formitemFn.ts                                   | TypeScript |         54 |         18 |         10 |         82 |
| d:\share2\electron-vue\src\schema\http.ts                                         | TypeScript |        118 |          3 |          3 |        124 |
| d:\share2\electron-vue\src\schema\icon.ts                                         | TypeScript |         63 |          5 |         15 |         83 |
| d:\share2\electron-vue\src\schema\index.ts                                        | TypeScript |          1 |          0 |          1 |          2 |
| d:\share2\electron-vue\src\schema\input.ts                                        | TypeScript |        208 |          2 |          4 |        214 |
| d:\share2\electron-vue\src\schema\layoutGrid.ts                                   | TypeScript |         37 |          0 |          2 |         39 |
| d:\share2\electron-vue\src\schema\layoutGridFn.ts                                 | TypeScript |         88 |         15 |          7 |        110 |
| d:\share2\electron-vue\src\schema\list.ts                                         | TypeScript |         19 |          0 |          2 |         21 |
| d:\share2\electron-vue\src\schema\menu.ts                                         | TypeScript |        483 |         16 |          8 |        507 |
| d:\share2\electron-vue\src\schema\popup.ts                                        | TypeScript |         37 |          0 |          2 |         39 |
| d:\share2\electron-vue\src\schema\popupFn.ts                                      | TypeScript |          8 |          0 |          1 |          9 |
| d:\share2\electron-vue\src\schema\schemaComponent\baseInfoInputView.ts            | TypeScript |         29 |          7 |          0 |         36 |
| d:\share2\electron-vue\src\schema\schemaComponent\buttonGroupView.ts              | TypeScript |         28 |          2 |          3 |         33 |
| d:\share2\electron-vue\src\schema\schemaComponent\buttonView.ts                   | TypeScript |         18 |         14 |          1 |         33 |
| d:\share2\electron-vue\src\schema\schemaComponent\contextMenuView.ts              | TypeScript |          9 |          4 |          1 |         14 |
| d:\share2\electron-vue\src\schema\schemaComponent\detailEntityView.ts             | TypeScript |         26 |         12 |          1 |         39 |
| d:\share2\electron-vue\src\schema\schemaComponent\dialogPoolView.ts               | TypeScript |         17 |          0 |          1 |         18 |
| d:\share2\electron-vue\src\schema\schemaComponent\dialogView.ts                   | TypeScript |         21 |          0 |          1 |         22 |
| d:\share2\electron-vue\src\schema\schemaComponent\entityView.ts                   | TypeScript |         21 |          7 |          1 |         29 |
| d:\share2\electron-vue\src\schema\schemaComponent\formView.ts                     | TypeScript |         23 |          0 |          3 |         26 |
| d:\share2\electron-vue\src\schema\schemaComponent\inputView.ts                    | TypeScript |        113 |          2 |          0 |        115 |
| d:\share2\electron-vue\src\schema\schemaComponent\instanceView.ts                 | TypeScript |         13 |          0 |          0 |         13 |
| d:\share2\electron-vue\src\schema\schemaComponent\layoutGridView.ts               | TypeScript |         10 |          0 |          0 |         10 |
| d:\share2\electron-vue\src\schema\schemaComponent\menuItemView.ts                 | TypeScript |          9 |          0 |          0 |          9 |
| d:\share2\electron-vue\src\schema\schemaComponent\menuView.ts                     | TypeScript |          9 |          0 |          1 |         10 |
| d:\share2\electron-vue\src\schema\schemaComponent\popupView.ts                    | TypeScript |         11 |          1 |          1 |         13 |
| d:\share2\electron-vue\src\schema\schemaComponent\tabView.ts                      | TypeScript |         21 |          0 |          0 |         21 |
